0807
INFO:root:Epoch[12] Batch [920]	Speed: 680.44 samples/sec	acc=0.484505
INFO:root:Epoch[12] Batch [940]	Speed: 684.38 samples/sec	acc=0.484245
INFO:root:Epoch[12] Batch [960]	Speed: 666.27 samples/sec	acc=0.482031
INFO:root:Epoch[12] Batch [980]	Speed: 683.67 samples/sec	acc=0.484115
INFO:root:Epoch[12] Batch [1000]	Speed: 668.51 samples/sec	acc=0.473047
INFO:root:Epoch[12] Batch [1020]	Speed: 680.83 samples/sec	acc=0.476693
INFO:root:Epoch[12] Batch [1040]	Speed: 677.01 samples/sec	acc=0.478516
INFO:root:Epoch[12] Batch [1060]	Speed: 745.05 samples/sec	acc=0.482422
INFO:root:Epoch[12] Batch [1080]	Speed: 705.50 samples/sec	acc=0.478385
INFO:root:Epoch[12] Batch [1100]	Speed: 680.08 samples/sec	acc=0.492448
INFO:root:Epoch[12] Batch [1120]	Speed: 683.68 samples/sec	acc=0.486458
INFO:root:Epoch[12] Batch [1140]	Speed: 670.51 samples/sec	acc=0.470964
INFO:root:Epoch[12] Batch [1160]	Speed: 675.62 samples/sec	acc=0.481120
INFO:root:Epoch[12] Batch [1180]	Speed: 679.27 samples/sec	acc=0.479557
INFO:root:Epoch[12] Batch [1200]	Speed: 672.50 samples/sec	acc=0.483724
INFO:root:Epoch[12] Batch [1220]	Speed: 675.69 samples/sec	acc=0.484896
INFO:root:Epoch[12] Batch [1240]	Speed: 677.53 samples/sec	acc=0.482031
INFO:root:Epoch[12] Batch [1260]	Speed: 678.83 samples/sec	acc=0.488932
INFO:root:Epoch[12] Batch [1280]	Speed: 679.00 samples/sec	acc=0.486849
INFO:root:Epoch[12] Batch [1300]	Speed: 683.85 samples/sec	acc=0.482552
INFO:root:Epoch[12] Batch [1320]	Speed: 680.11 samples/sec	acc=0.485417
INFO:root:Epoch[12] Batch [1340]	Speed: 671.33 samples/sec	acc=0.479687
INFO:root:Epoch[12] Batch [1360]	Speed: 670.44 samples/sec	acc=0.479167
INFO:root:Epoch[12] Batch [1380]	Speed: 668.64 samples/sec	acc=0.486458
INFO:root:Epoch[12] Batch [1400]	Speed: 681.46 samples/sec	acc=0.478125
INFO:root:Epoch[12] Batch [1420]	Speed: 676.07 samples/sec	acc=0.477474
INFO:root:Epoch[12] Batch [1440]	Speed: 685.87 samples/sec	acc=0.477734
INFO:root:Epoch[12] Batch [1460]	Speed: 684.65 samples/sec	acc=0.471484
INFO:root:Epoch[12] Batch [1480]	Speed: 671.55 samples/sec	acc=0.479167
INFO:root:Epoch[12] Batch [1500]	Speed: 677.08 samples/sec	acc=0.479297
INFO:root:Epoch[12] Batch [1520]	Speed: 678.09 samples/sec	acc=0.488802
INFO:root:Epoch[12] Batch [1540]	Speed: 678.73 samples/sec	acc=0.489974
INFO:root:Epoch[12] Batch [1560]	Speed: 676.60 samples/sec	acc=0.480990
